parcel_id,owner_name_raw,owner_class,is_state,in_cra_list,acres,sliver,zone_code,land_use_code,geometry_file,source_name,source_url,source_date
14013000120000,THE UNITED STATES OF AMERICA - US ARMY ENGINEERS DIST,UNCLASSIFIED,False,False,10.0,False,UNKNOWN,Tax Exempt - Government,readiness/data/geometry/14013000120000.geojson,cadastre_government_owned_parcels,https://services1.arcgis.com/99lidPhWCzftIe9K/arcgis/rest/services/cadastre_government_owned_parcels/FeatureServer/0/query,2026-09-25
14024260010000,UNITED STATES OF AMERICA - GENERAL SERVICES ADMIN,UNCLASSIFIED,False,False,2.4,False,UNKNOWN,Commercial - Office Space,readiness/data/geometry/14024260010000.geojson,cadastre_government_owned_parcels,https://services1.arcgis.com/99lidPhWCzftIe9K/arcgis/rest/services/cadastre_government_owned_parcels/FeatureServer/0/query,2026-09-25
15221260020000,UNITED STATES POSTAL SERVICE,UNCLASSIFIED,False,False,0.2,False,UNKNOWN,Tax Exempt - Government,readiness/data/geometry/15221260020000.geojson,cadastre_government_owned_parcels,https://services1.arcgis.com/99lidPhWCzftIe9K/arcgis/rest/services/cadastre_government_owned_parcels/FeatureServer/0/query,2026-09-25
15221260370000,UNITED STATES POSTAL SERVICE,UNCLASSIFIED,False,False,2.5,False,UNKNOWN,Tax Exempt - Government,readiness/data/geometry/15221260370000.geojson,cadastre_government_owned_parcels,https://services1.arcgis.com/99lidPhWCzftIe9K/arcgis/rest/services/cadastre_government_owned_parcels/FeatureServer/0/query,2026-09-25
15221260380000,UNITED STATES POSTAL SERVICE - ADMINISTRATIVE SERVICES,UNCLASSIFIED,False,False,4.0,False,UNKNOWN,Tax Exempt - Government,readiness/data/geometry/15221260380000.geojson,cadastre_government_owned_parcels,https://services1.arcgis.com/99lidPhWCzftIe9K/arcgis/rest/services/cadastre_government_owned_parcels/FeatureServer/0/query,2026-09-25
15014310010000,UNITED STATES OF AMERICA - GENERAL SERVICES ADMIN,UNCLASSIFIED,False,False,0.8,False,UNKNOWN,Commercial - Office Space,readiness/data/geometry/15014310010000.geojson,cadastre_government_owned_parcels,https://services1.arcgis.com/99lidPhWCzftIe9K/arcgis/rest/services/cadastre_government_owned_parcels/FeatureServer/0/query,2026-09-25
15014310050000,UNITED STATES OF AMERICA - GENERAL SERVICES ADMIN.,UNCLASSIFIED,False,False,2.4,False,UNKNOWN,Commercial - Office Space,readiness/data/geometry/15014310050000.geojson,cadastre_government_owned_parcels,https://services1.arcgis.com/99lidPhWCzftIe9K/arcgis/rest/services/cadastre_government_owned_parcels/FeatureServer/0/query,2026-09-25
15014310090000,UNITED STATES OF AMERICA - G.S.A.,UNCLASSIFIED,False,False,0.3,False,UNKNOWN,Commercial - Office Space,readiness/data/geometry/15014310090000.geojson,cadastre_government_owned_parcels,https://services1.arcgis.com/99lidPhWCzftIe9K/arcgis/rest/services/cadastre_government_owned_parcels/FeatureServer/0/query,2026-09-25
15014310170000,UNITED STATES OF AMERICA - BUREAU OF RECLAMATION,UNCLASSIFIED,False,False,0.2,False,UNKNOWN,Tax Exempt - Government,readiness/data/geometry/15014310170000.geojson,cadastre_government_owned_parcels,https://services1.arcgis.com/99lidPhWCzftIe9K/arcgis/rest/services/cadastre_government_owned_parcels/FeatureServer/0/query,2026-09-25
15014310180000,UNITED STATES OF AMERICA - G.S.A.,UNCLASSIFIED,False,False,0.3,False,UNKNOWN,Tax Exempt - Government,readiness/data/geometry/15014310180000.geojson,cadastre_government_owned_parcels,https://services1.arcgis.com/99lidPhWCzftIe9K/arcgis/rest/services/cadastre_government_owned_parcels/FeatureServer/0/query,2026-09-25
