parcel_id,address,district,zone_label,category,fits_type,fits_units,acres,sqft
08253760580000,765 N 400 W # 407,MU-5,Mixed Use 5,B,townhome,3,0.015,657
08253760600000,617 N 500 W,M-2,Heavy Manufacturing,D,none,0,0.433,18857
08253760610000,798 N 500 W,M-1,Light Manufacturing,D,none,0,6.72,292740
08253770010000,377 W 800 N,MU-5,Mixed Use 5,B,townhome,3,0.188,8174
08253770020000,367 W 800 N,MU-5,Mixed Use 5,B,townhome,3,0.188,8174
08253770070000,335 W 800 N,MU-5,Mixed Use 5,B,townhome,3,0.126,5491
08253770110000,352 W REED AVE,MU-5,Mixed Use 5,B,townhome,3,0.134,5824
08253770120000,348 W REED AVE,MU-5,Mixed Use 5,B,townhome,3,0.134,5823
08253770150000,356 W REED AVE,MU-5,Mixed Use 5,C,townhome,9,0.635,27648
08253770160000,777 N MARMALADE LN,MU-5,Mixed Use 5,B,townhome,3,0.025,1080
08253770170000,775 N MARMALADE LN,MU-5,Mixed Use 5,B,townhome,3,0.025,1070
08253770180000,773 N MARMALADE LN,MU-5,Mixed Use 5,B,townhome,3,0.025,1079
08253770190000,763 N MARMALADE LN,MU-5,Mixed Use 5,B,townhome,3,0.025,1100
08253770200000,765 N MARMALADE LN,MU-5,Mixed Use 5,B,townhome,3,0.025,1090
08253770210000,767 N MARMALADE LN,MU-5,Mixed Use 5,B,townhome,3,0.025,1090
08253770220000,769 N MARMALADE LN,MU-5,Mixed Use 5,B,townhome,3,0.025,1090
08253770230000,771 N MARMALADE LN,MU-5,Mixed Use 5,B,townhome,3,0.025,1100
08253770240000,344 W REED AVE,MU-5,Mixed Use 5,B,townhome,3,0.025,1084
08253770250000,342 W REED AVE,MU-5,Mixed Use 5,B,townhome,3,0.025,1083
08253770260000,340 W REED AVE,MU-5,Mixed Use 5,B,townhome,3,0.025,1090
08253770270000,338 W REED AVE,MU-5,Mixed Use 5,B,townhome,3,0.025,1090
08253770280000,336 W REED AVE,MU-5,Mixed Use 5,B,townhome,3,0.025,1108
08253770290000,365 W 800 N,MU-5,Mixed Use 5,B,townhome,3,0.027,1174
08253770300000,365 W 800 N # 2,MU-5,Mixed Use 5,B,townhome,3,0.018,763
08253770310000,365 W 800 N # 3,MU-5,Mixed Use 5,B,townhome,3,0.018,763
08253770320000,365 W 800 N # 4,MU-5,Mixed Use 5,B,townhome,3,0.018,763
08253770330000,365 W 800 N # 5,MU-5,Mixed Use 5,B,townhome,3,0.018,763
08253770340000,365 W 800 N # 6,MU-5,Mixed Use 5,B,townhome,3,0.018,763
08253770350000,365 W 800 N # 7,MU-5,Mixed Use 5,B,townhome,3,0.019,840
08253770360000,365 W 800 N # 8,MU-5,Mixed Use 5,B,townhome,3,0.027,1177
08253770370000,365 W 800 N # 9,MU-5,Mixed Use 5,B,townhome,3,0.018,763
08253770380000,365 W 800 N # 10,MU-5,Mixed Use 5,B,townhome,3,0.018,763
08253770390000,365 W 800 N # 11,MU-5,Mixed Use 5,B,townhome,3,0.018,763
08253770400000,365 W 800 N # 12,MU-5,Mixed Use 5,B,townhome,3,0.018,763
08253770410000,365 W 800 N # 13,MU-5,Mixed Use 5,B,townhome,3,0.018,763
08253770420000,365 W 800 N # 14,MU-5,Mixed Use 5,B,townhome,3,0.019,840
08253770430000,365 W 800 N # COM,MU-5,Mixed Use 5,B,townhome,3,0.17,7391
08253780010000,732 N 400 W,MU-5,Mixed Use 5,B,townhome,3,0.132,5754
08253780020000,365 W REED AVE,MU-5,Mixed Use 5,B,townhome,3,0.243,10591
08253780060000,345 W REED AVE,MU-5,Mixed Use 5,B,townhome,3,0.088,3828
08253780070000,341 W REED AVE,MU-5,Mixed Use 5,B,townhome,3,0.113,4912
08253780080000,339 W REED AVE,MU-5,Mixed Use 5,B,townhome,3,0.099,4327
08253780090000,720 N 400 W,MU-5,Mixed Use 5,B,townhome,3,0.097,4240
08253780110000,374 W 700 N,MU-5,Mixed Use 5,B,townhome,3,0.007,286
08253780120000,372 W 700 N,MU-5,Mixed Use 5,B,townhome,3,0.122,5300
08253780130000,360 W 700 N,MU-5,Mixed Use 5,B,townhome,3,0.125,5454
08253780140000,358 W 700 N,MU-5,Mixed Use 5,B,townhome,3,0.106,4597
08253780150000,350 W 700 N,MU-5,Mixed Use 5,B,townhome,3,0.165,7192
08253780160000,348 W 700 N,MU-5,Mixed Use 5,B,townhome,3,0.124,5402
08253780170000,344 W 700 N,MU-5,Mixed Use 5,B,townhome,3,0.124,5408
08253780200000,342 W 700 N,MU-5,Mixed Use 5,B,townhome,3,0.003,125
08253780220000,357 W REED AVE,MU-5,Mixed Use 5,B,townhome,3,0.124,5404
08253780230000,353 W REED AVE,MU-5,Mixed Use 5,B,townhome,3,0.125,5441
08253780240000,716 N 400 W,MU-5,Mixed Use 5,B,townhome,3,0.092,4012
08253780250000,376 W 700 N,MU-5,Mixed Use 5,B,townhome,3,0.139,6074
08253780260000,338 W 700 N,MU-5,Mixed Use 5,B,townhome,3,0.032,1402
08253780270000,336 W 700 N,MU-5,Mixed Use 5,B,townhome,3,0.181,7867
08253780280000,340 W 700 N,MU-5,Mixed Use 5,B,townhome,3,0.049,2146
08253780290000,340 W 700 N,MU-5,Mixed Use 5,B,townhome,3,0.032,1393
08253780300000,365 W REED AVE,MU-5,Mixed Use 5,B,townhome,3,0.001,48
08253780310000,732 N 400 W,MU-5,Mixed Use 5,B,townhome,3,0.001,26
08253780320000,720 N 400 W,MU-5,Mixed Use 5,B,townhome,3,0.002,86
08253780330000,319 W REED AVE,MU-5,Mixed Use 5,B,townhome,3,0.21,9167
08253780340000,361 W REED AVE,MU-5,Mixed Use 5,B,townhome,3,0.113,4901
08253780350000,361 W REED AVE # 100,MU-5,Mixed Use 5,B,townhome,3,0.013,584
08253780360000,361 W REED AVE # 101,MU-5,Mixed Use 5,B,townhome,3,0.013,561
08253780370000,361 W REED AVE # 102,MU-5,Mixed Use 5,B,townhome,3,0.013,561
08253780380000,361 W REED AVE # 103,MU-5,Mixed Use 5,B,townhome,3,0.013,584
08253790010000,377 W 700 N,MU-5,Mixed Use 5,B,townhome,3,0.083,3632
08253790020000,375 W 700 N,MU-5,Mixed Use 5,B,townhome,3,0.083,3630
08253790030000,367 W 700 N,MU-5,Mixed Use 5,B,townhome,3,0.083,3629
08253790040000,363 W 700 N,MU-5,Mixed Use 5,B,townhome,3,0.081,3549
08253790050000,353 W 700 N,MU-5,Mixed Use 5,B,townhome,3,0.059,2552
08253790060000,353 W 700 N,MU-5,Mixed Use 5,B,townhome,3,0.052,2276
08253790070000,349 W 700 N,MU-5,Mixed Use 5,B,townhome,3,0.06,2622
08253790080000,671 N PUGSLEY ST,MU-5,Mixed Use 5,B,townhome,3,0.224,9775
08253790090000,664 N 400 W,MU-5,Mixed Use 5,C,townhome,5,0.379,16515
08253790100000,663 N PUGSLEY ST,MU-5,Mixed Use 5,B,townhome,3,0.056,2446
08253800010000,351 W 800 N,MU-5,Mixed Use 5,C,townhome,6,0.438,19087
08253800020000,351 W 800 N # 1,MU-5,Mixed Use 5,B,townhome,3,0.013,580
08253800030000,351 W 800 N # 2,MU-5,Mixed Use 5,B,townhome,3,0.015,645
08253800040000,351 W 800 N # 3,MU-5,Mixed Use 5,B,townhome,3,0.015,645
08253800050000,351 W 800 N # 4,MU-5,Mixed Use 5,B,townhome,3,0.015,645
08253800060000,351 W 800 N # 5,MU-5,Mixed Use 5,B,townhome,3,0.015,645
08253800070000,351 W 800 N # 6,MU-5,Mixed Use 5,B,townhome,3,0.013,572
08253800080000,351 W 800 N # 7,MU-5,Mixed Use 5,B,townhome,3,0.013,570
08253800090000,351 W 800 N # 14,MU-5,Mixed Use 5,B,townhome,3,0.013,580
08253800100000,351 W 800 N # 13,MU-5,Mixed Use 5,B,townhome,3,0.015,645
08253800110000,351 W 800 N # 12,MU-5,Mixed Use 5,B,townhome,3,0.015,645
08253800120000,351 W 800 N # 11,MU-5,Mixed Use 5,B,townhome,3,0.015,645
08253800130000,351 W 800 N # 10,MU-5,Mixed Use 5,B,townhome,3,0.015,645
08253800140000,351 W 800 N # 9,MU-5,Mixed Use 5,B,townhome,3,0.013,571
08253800150000,351 W 800 N # 8,MU-5,Mixed Use 5,B,townhome,3,0.013,570
08254020050000,855 N BECK ST,BP,Business Park,C,townhome,8,0.581,25329
08254020060000,367 W 900 N,BP,Business Park,B,townhome,3,0.183,7953
08254020070000,875 N BECK ST,BP,Business Park,C,townhome,16,1.283,55869
08254030010000,840 N BECK ST,OS,Open Space,D,none,0,22.839,994846
08254040010000,,OS,Open Space,D,none,0,23.028,1003117
08254260010000,7 E DORCHESTER DR,FR-3,FR-3/12000 Foothills Estates Residential,UNKNOWN,none,0,0.304,13262
08254260030000,21 E DORCHESTER DR,FR-3,FR-3/12000 Foothills Estates Residential,UNKNOWN,none,0,0.289,12610
08254260040000,23 E DORCHESTER DR,FR-3,FR-3/12000 Foothills Estates Residential,UNKNOWN,none,0,0.003,141
08254260050000,973 N CHURCH HILL DR,FR-3,FR-3/12000 Foothills Estates Residential,UNKNOWN,none,0,0.671,29218
08254260060000,969 N CHURCH HILL DR,FR-3,FR-3/12000 Foothills Estates Residential,UNKNOWN,none,0,1.212,52791
08254260070000,972 N CHURCH HILL DR,FR-3,FR-3/12000 Foothills Estates Residential,UNKNOWN,none,0,0.643,27989
08254260080000,959 N DARTMOOR WAY,FR-3,FR-3/12000 Foothills Estates Residential,UNKNOWN,none,0,0.658,28654
08254260090000,9 E DARTMOOR LN,FR-3,FR-3/12000 Foothills Estates Residential,UNKNOWN,none,0,0.692,30152
08254260100000,17 E DARTMOOR LN,FR-3,FR-3/12000 Foothills Estates Residential,UNKNOWN,none,0,0.705,30722
08254260110000,945 N DARTMOOR WAY,FR-3,FR-3/12000 Foothills Estates Residential,UNKNOWN,none,0,0.591,25749
08254260120000,4 E DARTMOOR LN,FR-3,FR-3/12000 Foothills Estates Residential,UNKNOWN,none,0,0.573,24952
08254260130000,20 E DARTMOOR LN,FR-3,FR-3/12000 Foothills Estates Residential,UNKNOWN,none,0,0.608,26478
08254260140000,26 E DARTMOOR LN,FR-3,FR-3/12000 Foothills Estates Residential,UNKNOWN,none,0,0.386,16815
